State,1939-40,1949-50,1959-60,1969-70,1979-80,1989-90,1996-97,1997-98,1998-99
United States,1441.0,3010.0,5174,9047.0,16715.0,32638.0,40435.0,41272.0,42459.0
Alabama,744.0,2111.0,4002,6954.0,13338.0,26200.0,33744.0,34040.0,36740.0
Alaska,,,6859,10993.0,27697.0,43161.0,52033.0,48760.0,48085.0
Arizona,1544.0,3556.0,5590,8975.0,16180.0,33592.0,44157.0,44819.0,45785.0
Arkansas,584.0,1801.0,3295,6461.0,12704.0,23296.0,31852.0,32186.0,32879.0
California,2351.0,,6600,10950.0,18626.0,39309.0,45349.0,45610.0,46593.0
Colorado,1393.0,2821.0,4997,8105.0,16840.0,31832.0,37473.0,38590.0,39421.0
Connecticut,1861.0,3558.0,6008,9597.0,16989.0,41888.0,52067.0,52480.0,53429.0
Delaware,1684.0,3273.0,5800,9387.0,16845.0,34620.0,43085.0,44169.0,44916.0
District of Columbia,2350.0,3920.0,6280,10700.0,23027.0,43637.0,40854.0,42068.0,42974.0
Florida,1012.0,2958.0,5080,8785.0,14875.0,30275.0,34980.0,35594.0,37048.0
Georgia,770.0,1963.0,3904,7520.0,14547.0,29541.0,37344.0,39412.0,41591.0
Hawaii,,,5390,9600.0,20436.0,32956.0,36986.0,39751.0,41547.0
Idaho,1057.0,2481.0,4216,7081.0,14110.0,24758.0,33277.0,34326.0,35643.0
Illinois,1700.0,3458.0,5814,9789.0,18271.0,33912.0,43686.0,45361.0,47312.0
Indiana,1433.0,3401.0,5542,9239.0,16256.0,31905.0,40062.0,41014.0,42501.0
Iowa,1017.0,2420.0,4030,8779.0,15776.0,27619.0,34477.0,35326.0,36209.0
Kansas,1014.0,2628.0,4450,7811.0,14513.0,30154.0,38379.0,39219.0,39690.0
Kentucky,826.0,1936.0,3327,7325.0,15350.0,27482.0,35560.0,36222.0,37251.0
Louisiana,1006.0,2983.0,4978,7264.0,14020.0,25036.0,30499.0,31602.0,33943.0
Maine,894.0,2115.0,3694,8059.0,13743.0,27831.0,34796.0,35484.0,36125.0
Maryland,1642.0,3594.0,5557,9885.0,18308.0,37520.0,42988.0,43618.0,44873.0
Massachusetts,2037.0,3338.0,5545,9347.0,18900.0,40175.0,54244.0,55630.0,56829.0
Michigan,1576.0,3420.0,5654,10125.0,20682.0,37286.0,47181.0,47500.0,48207.0
Minnesota,1276.0,3013.0,5275,9250.0,16654.0,33340.0,39258.0,39123.0,40707.0
Mississippi,559.0,1416.0,3314,5959.0,12274.0,25079.0,28648.0,29857.0,30743.0
Missouri,1159.0,2581.0,4536,8064.0,14543.0,28166.0,34789.0,35624.0,36512.0
Montana,1184.0,2962.0,4425,7875.0,15080.0,29526.0,31836.0,32536.0,30034.0
Nebraska,829.0,2292.0,3876,7633.0,14236.0,27024.0,35045.0,35800.0,36571.0
Nevada,1557.0,3209.0,5693,9615.0,17290.0,31970.0,39179.0,39002.0,41007.0
New Hampshire,1258.0,2712.0,4455,8016.0,13508.0,29798.0,43455.0,44234.0,45187.0
New Jersey,2093.0,3511.0,5871,9650.0,18851.0,37485.0,52411.0,53196.0,54342.0
New Mexico,1144.0,3215.0,5382,10021.0,15406.0,25790.0,30914.0,31580.0,33714.0
New York,2604.0,3706.0,6537,11240.0,20400.0,40000.0,48600.0,49320.0,50300.0
North Carolina,946.0,2688.0,4178,7762.0,14445.0,28952.0,32383.0,34398.0,37279.0
North Dakota,745.0,2324.0,3695,6840.0,13684.0,23788.0,27905.0,28438.0,29215.0
Ohio,1587.0,3088.0,5124,8594.0,16100.0,32467.0,39938.0,40352.0,41986.0
Oklahoma,1014.0,2736.0,4659,7257.0,13500.0,23944.0,31894.0,32302.0,32783.0
Oregon,1333.0,3323.0,5535,9200.0,16996.0,32100.0,42420.0,43700.0,43142.0
Pennsylvania,1640.0,3006.0,5308,8899.0,17060.0,34110.0,48178.0,48624.0,49566.0
Rhode Island,1809.0,3294.0,5499,9030.0,18425.0,36704.0,44188.0,45504.0,51689.0
South Carolina,743.0,1891.0,3450,7069.0,13670.0,28453.0,34421.0,35358.0,36217.0
South Dakota,807.0,2064.0,3725,7200.0,13010.0,22120.0,27767.0,28880.0,29387.0
Tennessee,862.0,2302.0,3929,7187.0,14193.0,27949.0,35555.0,36700.0,37491.0
Texas,1079.0,3122.0,4708,7598.0,14729.0,28549.0,34937.0,36112.0,36999.0
Utah,1394.0,3103.0,5096,8049.0,17403.0,24591.0,33031.0,33265.0,33982.0
Vermont,981.0,2348.0,4466,8225.0,13300.0,29012.0,36053.0,36299.0,37081.0
Virginia,899.0,2328.0,4312,8364.0,14655.0,31656.0,36426.0,37458.0,38265.0
Washington,1706.0,3487.0,5643,9792.0,19735.0,31828.0,39594.0,40629.0,40596.0
West Virginia,1170.0,2425.0,3952,7954.0,14395.0,23842.0,34345.0,34564.0,35451.0
Wisconsin,1379.0,3007.0,4870,9150.0,16335.0,32445.0,41848.0,42273.0,43507.0
Wyoming,1169.0,2798.0,4937,8496.0,16830.0,29047.0,32620.0,32979.0,34683.0
American Samoa,,,852,5130.0,,,,,
Guam,,,4107,7800.0,,,,,
Puerto Rico,,,2360,,,,,,
Virgin Islands,,,3407,,,,,,
