State,1969–70,1979–80,1989–90,1999–2000,2004–05,2005–06,2006–07
United States,8626,15970,31367,41807,47659,49026,50816
Alabama,6818,13060,24828,36689,38186,40347,43389
Alaska,10560,27210,43153,46462,52424,53553,54658
Arizona,8711,15054,29402,36902,42905,44672,45941
Arkansas,6307,12299,22352,33386,40495,42768,44245
California,10315,18020,37998,47680,57604,59825,63640
Colorado,7761,16205,30758,38163,43949,44439,45833
Connecticut,9262,16229,40461,51780,57737,59304,60822
Delaware,9015,16148,33377,44435,50595,54264,54680
District of Columbia,10285,22190,38402,47076,58456,59000,59000
Florida,8412,14149,28803,36722,41590,43302,45308
Georgia,7276,13853,28006,41023,46526,48300,49905
Hawaii,9453,19920,32047,40578,46149,49292,51922
Idaho,6890,13611,23861,35547,40864,41150,42798
Illinois,9569,17601,32794,46486,57539,58686,58246
Indiana,8833,15599,30902,41850,46583,47255,47831
Iowa,8355,15203,26747,35678,39284,41083,43130
Kansas,7612,13690,28744,34981,39345,41467,43334
Kentucky,6953,14520,26292,36380,40959,42592,43646
Louisiana,7028,13760,24300,33109,39022,40029,42816
Maine,7572,13071,26881,35561,39610,40737,41596
Maryland,9383,17558,36319,44048,52331,54333,56927
Massachusetts,8764,17253,34712,46580,54701,56369,58624
Michigan,9826,19663,37072,49044,53959,54739,54895
Minnesota,8658,15912,32190,39802,46906,48489,49634
Mississippi,5798,11850,24292,31857,38212,40576,40182
Missouri,7799,13682,27094,35656,39090,40462,41839
Montana,7606,14537,25081,32121,38485,39832,41225
Nebraska,7375,13516,25522,33237,39456,40382,42044
Nevada,9215,16295,30590,39390,43394,44426,45342
New Hampshire,7771,13017,28986,37734,43941,45263,46527
New Jersey,9130,17161,35676,52015,56519,58156,59920
New Mexico,7796,14887,24756,32554,39391,41637,42780
New York,10336,19812,38925,51020,56200,57354,58537
North Carolina,7494,14117,27883,39404,43348,43922,46410
North Dakota,6696,13263,23016,29863,36695,37764,38822
Ohio,8300,15269,31218,41436,48692,50314,51937
Oklahoma,6882,13107,23070,31298,37879,38772,42379
Oregon,8818,16266,30840,42336,48320,50044,50911
Pennsylvania,8858,16515,33338,48321,53258,54027,54970
Rhode Island,8776,18002,36057,47041,53473,54730,55956
South Carolina,6927,13063,27217,36081,42189,43011,44133
South Dakota,6403,12348,21300,29071,34040,34709,35378
Tennessee,7050,13972,27052,36328,42076,42537,43816
Texas,7255,14132,27496,37567,41011,41744,44897
Utah,7644,14909,23686,34946,39456,40007,40566
Vermont,7968,12484,29012,37758,44535,46622,48370
Virginia,8070,14060,30938,38744,42768,43823,44727
Washington,9225,18820,30457,41043,45718,46326,47882
West Virginia,7650,13710,22842,35009,38360,38284,40531
Wisconsin,8963,16006,31921,41153,44299,46390,47901
Wyoming,8232,16012,28141,34127,40497,43225,50692
