State,1969-70,1979-80,1989-90,1999- 2000,2009-10,2017-18,2018-19
United States,8626,15970,31367,41807,55370,60477,61730
Alabama,6818,13060,24828,36689,47571,50568,50810
Alaska,10560,27210,43153,46462,59672,69682,70277
Arizona,8711,15054,29402,36902,46952,48723,49892
Arkansas,6307,12299,22352,33386,46700,50544,51019
California,10315,18020,37998,47680,68203,80680,82282
Colorado,7761,16205,30758,38163,49202,52701,53301
Connecticut,9262,16229,40461,51780,64350,74517,76465
Delaware,9015,16148,33377,44435,57080,61795,62308
District of Columbia,10285,22190,38402,47076,64548,76486,78477
Florida,8412,14149,28803,36722,46708,48168,48395
Georgia,7276,13853,28006,41023,53112,56329,57137
Hawaii,9453,19920,32047,40578,55063,57866,59757
Idaho,6890,13611,23861,35547,46283,49225,50757
Illinois,9569,17601,32794,46486,62077,65721,66600
Indiana,8833,15599,30902,41850,49986,50614,50937
Iowa,8355,15203,26747,35678,49626,57018,58140
Kansas,7612,13690,28744,34981,46657,49754,49800
Kentucky,6953,14520,26292,36380,49543,52952,53434
Louisiana,7028,13760,24300,33109,48903,50359,50923
Maine,7572,13071,26881,35561,46106,53815,54974
Maryland,9383,17558,36319,44048,63971,69627,70463
Massachusetts,8764,17253,34712,46580,69273,80357,82042
Michigan,9826,19663,37072,49044,57958,61911,61825
Minnesota,8658,15912,32190,39802,52431,57782,58221
Mississippi,5798,11850,24292,31857,45644,44926,45574
Missouri,7799,13682,27094,35656,45317,49304,50064
Montana,7606,14537,25081,32121,45759,52776,54034
Nebraska,7375,13516,25522,33237,46227,54213,54506
Nevada,9215,16295,30590,39390,51524,54280,54280
New Hampshire,7771,13017,28986,37734,51443,57833,58146
New Jersey,9130,17161,35676,52015,65130,69917,70212
New Mexico,7796,14887,24756,32554,46258,47152,47826
New York,10336,19812,38925,51020,71633,84227,85889
North Carolina,7494,14117,27883,39404,46850,51231,53975
North Dakota,6696,13263,23016,29863,42964,52850,53434
Ohio,8300,15269,31218,41436,55958,58000,57799
Oklahoma,6882,13107,23070,31298,47691,46300,52412
Oregon,8818,16266,30840,42336,55224,63061,64385
Pennsylvania,8858,16515,33338,48321,59156,67535,68141
Rhode Island,8776,18002,36057,47041,59686,66758,67040
South Carolina,6927,13063,27217,36081,47508,50182,50395
South Dakota,6403,12348,21300,29071,38837,47631,48786
Tennessee,7050,13972,27052,36328,46290,50900,51714
Texas,7255,14132,27496,37567,48261,53334,54155
Utah,7644,14909,23686,34946,45885,49655,50342
Vermont,7968,12484,29012,37758,49084,60556,61027
Virginia,8070,14060,30938,38744,50015,51994,52466
Washington,9225,18820,30457,41043,53003,55693,72965
West Virginia,7650,13710,22842,35009,45959,45642,47681
Wisconsin,8963,16006,31921,41153,51264,51469,51453
Wyoming,8232,16012,28141,34127,55861,58352,58618
