State,1969-70,1979-80,1989-90,1999-2000,2009-10,2018-19,2019-20
United States,8626,15970,31367,41807,55370,62304,63645
Alabama,6818,13060,24828,36689,47571,52009,54095
Alaska,10560,27210,43153,46462,59672,70277,70877
Arizona,8711,15054,29402,36902,46952,50353,50381
Arkansas,6307,12299,22352,33386,46700,49438,49822
California,10315,18020,37998,47680,68203,83059,84659
Colorado,7761,16205,30758,38163,49202,54935,57269
Connecticut,9262,16229,40461,51780,64350,76465,78247
Delaware,9015,16148,33377,44435,57080,63662,64853
District of Columbia,10285,22190,38402,47076,64548,78477,79350
Florida,8412,14149,28803,36722,46708,48314,48800
Georgia,7276,13853,28006,41023,53112,57095,60578
Hawaii,9453,19920,32047,40578,55063,63201,65409
Idaho,6890,13611,23861,35547,46283,50757,52875
Illinois,9569,17601,32794,46486,62077,67049,68305
Indiana,8833,15599,30902,41850,49986,51119,51508
Iowa,8355,15203,26747,35678,49626,57489,58917
Kansas,7612,13690,28744,34981,46657,51082,52554
Kentucky,6953,14520,26292,36380,49543,53434,53907
Louisiana,7028,13760,24300,33109,48903,50288,50217
Maine,7572,13071,26881,35561,46106,54025,54967
Maryland,9383,17558,36319,44048,63971,70463,73444
Massachusetts,8764,17253,34712,46580,69273,82042,83622
Michigan,9826,19663,37072,49044,57958,62170,62185
Minnesota,8658,15912,32190,39802,52431,58221,58663
Mississippi,5798,11850,24292,31857,45644,45105,45192
Missouri,7799,13682,27094,35656,45317,50019,50817
Montana,7606,14537,25081,32121,45759,50721,52135
Nebraska,7375,13516,25522,33237,46227,54470,55267
Nevada,9215,16295,30590,39390,51524,55950,56672
New Hampshire,7771,13017,28986,37734,51443,59182,60003
New Jersey,9130,17161,35676,52015,65130,74760,76376
New Mexico,7796,14887,24756,32554,46258,47826,54256
New York,10336,19812,38925,51020,71633,85889,87543
North Carolina,7494,14117,27883,39404,46850,53940,54682
North Dakota,6696,13263,23016,29863,42964,53434,52328
Ohio,8300,15269,31218,41436,55958,59713,59713
Oklahoma,6882,13107,23070,31298,47691,52397,54038
Oregon,8818,16266,30840,42336,55224,65125,67685
Pennsylvania,8858,16515,33338,48321,59156,68930,70258
Rhode Island,8776,18002,36057,47041,59686,67040,67323
South Carolina,6927,13063,27217,36081,47508,50882,51485
South Dakota,6403,12348,21300,29071,38837,48204,49220
Tennessee,7050,13972,27052,36328,46290,51349,51862
Texas,7255,14132,27496,37567,48261,54121,57091
Utah,7644,14909,23686,34946,45885,51858,52819
Vermont,7968,12484,29012,37758,49084,60672,61108
Virginia,8070,14060,30938,38744,50015,53267,53933
Washington,9225,18820,30457,41043,53003,73049,72965
West Virginia,7650,13710,22842,35009,45959,47681,50238
Wisconsin,8963,16006,31921,41153,51264,58277,59176
Wyoming,8232,16012,28141,34127,55861,58861,59014
