Year,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1939,1441.0,744.0,,1544.0,584.0,2351.0,1393.0,1861.0,1684.0,2350.0,1012.0,770.0,,1057.0,1700.0,1433.0,1017.0,1014.0,826.0,1006.0,894.0,1642.0,2037.0,1576.0,1276.0,559.0,1159.0,1184.0,829.0,1557.0,1258.0,2093.0,1144.0,2604.0,946.0,745.0,1587.0,1014.0,1333.0,1640.0,1809.0,743.0,807.0,862.0,1079.0,1394.0,981.0,899.0,1706.0,1170.0,1379.0,1169.0
1949,3010.0,2111.0,,3556.0,1801.0,,2821.0,3558.0,3273.0,3920.0,2958.0,1963.0,,2481.0,3458.0,3401.0,2420.0,2628.0,1936.0,2983.0,2115.0,3594.0,3338.0,3420.0,3013.0,1416.0,2581.0,2962.0,2292.0,3209.0,2712.0,3511.0,3215.0,3706.0,2688.0,2324.0,3088.0,2736.0,3323.0,3006.0,3294.0,1891.0,2064.0,2302.0,3122.0,3103.0,2348.0,2328.0,3487.0,2425.0,3007.0,2798.0
1959,5174.0,4002.0,6859.0,5590.0,3295.0,6600.0,4997.0,6008.0,5800.0,6280.0,5080.0,3904.0,5390.0,4216.0,5814.0,5542.0,4030.0,4450.0,3327.0,4978.0,3694.0,5557.0,5545.0,5654.0,5275.0,3314.0,4536.0,4425.0,3876.0,5693.0,4455.0,5871.0,5382.0,6537.0,4178.0,3695.0,5124.0,4659.0,5535.0,5308.0,5499.0,3450.0,3725.0,3929.0,4708.0,5096.0,4466.0,4312.0,5643.0,3952.0,4870.0,4937.0
1969,9047.0,6954.0,10993.0,8975.0,6461.0,10950.0,8105.0,9597.0,9387.0,10700.0,8785.0,7520.0,9600.0,7081.0,9789.0,9239.0,8779.0,7811.0,7325.0,7264.0,8059.0,9885.0,9347.0,10125.0,9250.0,5959.0,8064.0,7875.0,7633.0,9615.0,8016.0,9650.0,10021.0,11240.0,7762.0,6840.0,8594.0,7257.0,9200.0,8899.0,9030.0,7069.0,7200.0,7187.0,7598.0,8049.0,8225.0,8364.0,9792.0,7954.0,9150.0,8496.0
1979,16715.0,13338.0,27697.0,16180.0,12704.0,18626.0,16840.0,16989.0,16845.0,23027.0,14875.0,14547.0,20436.0,14110.0,18271.0,16256.0,15776.0,14513.0,15350.0,14020.0,13743.0,18308.0,18900.0,20682.0,16654.0,12274.0,14543.0,15080.0,14236.0,17290.0,13508.0,18851.0,15406.0,20400.0,14445.0,13684.0,16100.0,13500.0,16996.0,17060.0,18425.0,13670.0,13010.0,14193.0,14729.0,17403.0,13300.0,14655.0,19735.0,14395.0,16335.0,16830.0
1989,32638.0,26200.0,43161.0,33592.0,23296.0,39309.0,31832.0,41888.0,34620.0,43637.0,30275.0,29541.0,32956.0,24758.0,33912.0,31905.0,27619.0,30154.0,27482.0,25036.0,27831.0,37520.0,40175.0,37286.0,33340.0,25079.0,28166.0,29526.0,27024.0,31970.0,29798.0,37485.0,25790.0,40000.0,28952.0,23788.0,32467.0,23944.0,32100.0,34110.0,36704.0,28453.0,22120.0,27949.0,28549.0,24591.0,29012.0,31656.0,31828.0,23842.0,32445.0,29047.0
1991,34063.0,26971.0,44661.0,31176.0,27070.0,39922.0,33072.0,46971.0,34548.0,38798.0,31070.0,29372.0,34528.0,26334.0,36461.0,34006.0,29202.0,30731.0,30870.0,25963.0,30097.0,38728.0,37845.0,41490.0,34451.0,24367.0,28895.0,27590.0,27231.0,33857.0,33170.0,41027.0,26239.0,43335.0,28791.0,24495.0,32932.0,25339.0,34100.0,38715.0,36417.0,28068.0,23291.0,28621.0,29041.0,26339.0,33646.0,31764.0,34823.0,27366.0,35227.0,30425.0
1992,35029.0,26953.0,46701.0,31352.0,27433.0,40035.0,33541.0,48343.0,36217.0,38702.0,31172.0,30223.0,36470.0,27011.0,38632.0,35066.0,30130.0,32863.0,31115.0,26102.0,30250.0,38753.0,38774.0,43901.0,35093.0,24367.0,29382.0,27617.0,28768.0,34119.0,33931.0,42680.0,26532.0,44999.0,29315.0,25211.0,34519.0,25918.0,35880.0,41215.0,37933.0,29224.0,24289.0,28960.0,29935.0,27239.0,34824.0,33212.0,35759.0,30301.0,35926.0,30080.0
1993,35819.0,28705.0,47512.0,31800.0,28098.0,40264.0,33826.0,49769.0,37469.0,42543.0,31944.0,30712.0,36564.0,27756.0,39387.0,35712.0,30760.0,33919.0,31625.0,26285.0,30996.0,39453.0,40852.0,45186.0,36146.0,25153.0,30310.0,28200.0,29564.0,33955.0,34121.0,44693.0,27922.0,45772.0,29728.0,25506.0,35678.0,27009.0,37590.0,42411.0,39261.0,29566.0,25259.0,30514.0,30519.0,27706.0,34517.0,33009.0,35863.0,30549.0,35990.0,30952.0
1994,36933.0,31144.0,47951.0,32090.0,28409.0,40667.0,34571.0,51300.0,39076.0,42959.0,32588.0,32828.0,38518.0,29783.0,41041.0,36516.0,31511.0,34936.0,32257.0,26574.0,31856.0,40636.0,42078.0,47412.0,37412.0,26910.0,31217.0,28785.0,30822.0,34836.0,34974.0,46801.0,28865.0,47250.0,31079.0,26327.0,36685.0,27971.0,38700.0,44489.0,40729.0,30341.0,26017.0,31270.0,31310.0,28676.0,36311.0,33753.0,36120.0,31923.0,37349.0,31300.0
1995,37846.0,31307.0,49620.0,32484.0,29322.0,42516.0,35364.0,50400.0,40533.0,43700.0,33320.0,34307.0,35807.0,30891.0,41008.0,37805.0,32376.0,35518.0,33018.0,26800.0,32869.0,41215.0,43756.0,49168.0,36937.0,27689.0,33341.0,29364.0,31496.0,36167.0,35792.0,47910.0,29349.0,48115.0,30564.0,26969.0,37835.0,28909.0,39650.0,46916.0,42160.0,31568.0,26346.0,33451.0,32000.0,30452.0,36295.0,34687.0,38025.0,32155.0,38571.0,31571.0
