State,Annual Salary,Year
United States,1441.0,1939
Alabama,744.0,1939
Alaska,,1939
Arizona,1544.0,1939
Arkansas,584.0,1939
California,2351.0,1939
Colorado,1393.0,1939
Connecticut,1861.0,1939
Delaware,1684.0,1939
District of Columbia,2350.0,1939
Florida,1012.0,1939
Georgia,770.0,1939
Hawaii,,1939
Idaho,1057.0,1939
Illinois,1700.0,1939
Indiana,1433.0,1939
Iowa,1017.0,1939
Kansas,1014.0,1939
Kentucky,826.0,1939
Louisiana,1006.0,1939
Maine,894.0,1939
Maryland,1642.0,1939
Massachusetts,2037.0,1939
Michigan,1576.0,1939
Minnesota,1276.0,1939
Mississippi,559.0,1939
Missouri,1159.0,1939
Montana,1184.0,1939
Nebraska,829.0,1939
Nevada,1557.0,1939
New Hampshire,1258.0,1939
New Jersey,2093.0,1939
New Mexico,1144.0,1939
New York,2604.0,1939
North Carolina,946.0,1939
North Dakota,745.0,1939
Ohio,1587.0,1939
Oklahoma,1014.0,1939
Oregon,1333.0,1939
Pennsylvania,1640.0,1939
Rhode Island,1809.0,1939
South Carolina,743.0,1939
South Dakota,807.0,1939
Tennessee,862.0,1939
Texas,1079.0,1939
Utah,1394.0,1939
Vermont,981.0,1939
Virginia,899.0,1939
Washington,1706.0,1939
West Virginia,1170.0,1939
Wisconsin,1379.0,1939
Wyoming,1169.0,1939
United States,3010.0,1949
Alabama,2111.0,1949
Alaska,,1949
Arizona,3556.0,1949
Arkansas,1801.0,1949
California,,1949
Colorado,2821.0,1949
Connecticut,3558.0,1949
Delaware,3273.0,1949
District of Columbia,3920.0,1949
Florida,2958.0,1949
Georgia,1963.0,1949
Hawaii,,1949
Idaho,2481.0,1949
Illinois,3458.0,1949
Indiana,3401.0,1949
Iowa,2420.0,1949
Kansas,2628.0,1949
Kentucky,1936.0,1949
Louisiana,2983.0,1949
Maine,2115.0,1949
Maryland,3594.0,1949
Massachusetts,3338.0,1949
Michigan,3420.0,1949
Minnesota,3013.0,1949
Mississippi,1416.0,1949
Missouri,2581.0,1949
Montana,2962.0,1949
Nebraska,2292.0,1949
Nevada,3209.0,1949
New Hampshire,2712.0,1949
New Jersey,3511.0,1949
New Mexico,3215.0,1949
New York,3706.0,1949
North Carolina,2688.0,1949
North Dakota,2324.0,1949
Ohio,3088.0,1949
Oklahoma,2736.0,1949
Oregon,3323.0,1949
Pennsylvania,3006.0,1949
Rhode Island,3294.0,1949
South Carolina,1891.0,1949
South Dakota,2064.0,1949
Tennessee,2302.0,1949
Texas,3122.0,1949
Utah,3103.0,1949
Vermont,2348.0,1949
Virginia,2328.0,1949
Washington,3487.0,1949
West Virginia,2425.0,1949
Wisconsin,3007.0,1949
Wyoming,2798.0,1949
United States,5174.0,1959
Alabama,4002.0,1959
Alaska,6859.0,1959
Arizona,5590.0,1959
Arkansas,3295.0,1959
California,6600.0,1959
Colorado,4997.0,1959
Connecticut,6008.0,1959
Delaware,5800.0,1959
District of Columbia,6280.0,1959
